No.     Time           Source                Destination           Protocol Length Info
     43 1.949378       149.43.220.33         142.250.31.188        TCP      54     51394 → 5228 [ACK] Seq=1 Ack=1 Win=2048 Len=0
     44 1.971385       142.250.31.188        149.43.220.33         TCP      66     [TCP ACKed unseen segment] 5228 → 51394 [ACK] Seq=1 Ack=2 Win=265 Len=0 TSval=2846081376 TSecr=2880263431
     45 3.686868       63.34.202.188         149.43.220.33         TLSv1.2  498    Application Data
     46 3.686987       149.43.220.33         63.34.202.188         TCP      66     51395 → 443 [ACK] Seq=1 Ack=862 Win=2041 Len=0 TSval=1851778510 TSecr=3648944542
     47 9.523882       107.20.137.119        149.43.220.33         TCP      66     443 → 59296 [ACK] Seq=1 Ack=1 Win=13 Len=0 TSval=585720478 TSecr=2431120801
     48 9.524107       149.43.220.33         107.20.137.119        TCP      66     [TCP ACKed unseen segment] 59296 → 443 [ACK] Seq=1 Ack=2 Win=2048 Len=0 TSval=2431135854 TSecr=585664031
     49 11.264198      63.34.202.188         149.43.220.33         TLSv1.2  494    Application Data
     50 11.264290      149.43.220.33         63.34.202.188         TCP      66     51395 → 443 [ACK] Seq=1 Ack=1290 Win=2041 Len=0 TSval=1851786087 TSecr=3648952077
     51 11.673529      54.160.120.76         149.43.220.33         TLSv1.2  575    Application Data
     52 11.673835      149.43.220.33         54.160.120.76         TCP      66     59276 → 443 [ACK] Seq=1 Ack=510 Win=2040 Len=0 TSval=3542466597 TSecr=482393846
     53 11.678353      149.43.220.33         54.160.120.76         TCP      1440   59276 → 443 [ACK] Seq=1 Ack=510 Win=2048 Len=1374 TSval=3542466601 TSecr=482393846 [TCP segment of a reassembled PDU]
     54 11.678360      149.43.220.33         54.160.120.76         TLSv1.2  654    Application Data
     55 11.694468      54.160.120.76         149.43.220.33         TCP      66     443 → 59276 [ACK] Seq=510 Ack=1963 Win=254 Len=0 TSval=482393882 TSecr=3542466601
     56 17.716110      63.34.202.188         149.43.220.33         TLSv1.2  498    Application Data
     57 17.716217      149.43.220.33         63.34.202.188         TCP      66     51395 → 443 [ACK] Seq=1 Ack=1722 Win=2041 Len=0 TSval=1851792539 TSecr=3648958586
     58 19.740035      149.43.220.33         140.82.112.22         TCP      54     51407 → 443 [ACK] Seq=1 Ack=1 Win=2048 Len=0
     59 19.761045      140.82.112.22         149.43.220.33         TCP      66     [TCP ACKed unseen segment] 443 → 51407 [ACK] Seq=1 Ack=2 Win=79 Len=0 TSval=103575509 TSecr=3614193330
     60 19.761200      149.43.220.33         185.199.108.154       TCP      54     51398 → 443 [ACK] Seq=1 Ack=1 Win=2649 Len=0
     61 19.769307      185.199.108.154       149.43.220.33         TCP      66     [TCP ACKed unseen segment] 443 → 51398 [ACK] Seq=1 Ack=2 Win=287 Len=0 TSval=1615083096 TSecr=1750719419
     62 21.600477      149.43.220.33         140.82.114.4          TCP      54     51397 → 443 [ACK] Seq=1 Ack=1 Win=2048 Len=0
     63 21.617474      140.82.114.4          149.43.220.33         TCP      66     [TCP ACKed unseen segment] 443 → 51397 [ACK] Seq=1 Ack=2 Win=170 Len=0 TSval=1070773604 TSecr=2946122693
     64 22.301726      149.43.220.33         185.199.111.133       TCP      54     51399 → 443 [ACK] Seq=1 Ack=1 Win=11580 Len=0
     65 22.311133      63.34.202.188         149.43.220.33         TLSv1.2  453    Application Data
     66 22.311234      149.43.220.33         63.34.202.188         TCP      66     51395 → 443 [ACK] Seq=1 Ack=2109 Win=2041 Len=0 TSval=1851797134 TSecr=3648963177
     67 22.316949      185.199.111.133       149.43.220.33         TCP      66     [TCP ACKed unseen segment] 443 → 51399 [ACK] Seq=1 Ack=2 Win=321 Len=0 TSval=3051650570 TSecr=2596593280
     68 24.576975      107.20.137.119        149.43.220.33         TCP      66     [TCP Dup ACK 47#1] 443 → 59296 [ACK] Seq=1 Ack=1 Win=13 Len=0 TSval=585724241 TSecr=2431135854
     69 24.577154      149.43.220.33         107.20.137.119        TCP      66     [TCP Dup ACK 48#1] [TCP ACKed unseen segment] 59296 → 443 [ACK] Seq=1 Ack=2 Win=2048 Len=0 TSval=2431150907 TSecr=585664031
     70 27.854422      149.43.100.186        149.43.220.33         TCP      78     56206 → 7000 [SYN] Seq=0 Win=65535 Len=0 MSS=1386 WS=64 TSval=647844912 TSecr=0 SACK_PERM=1
